UF,Tipo Crime,Ano,Mês,Ocorrências
Alagoas,Roubo a instituição financeira,2017,agosto,0
Alagoas,Roubo de carga,2017,agosto,4
Alagoas,Roubo de veículo,2017,agosto,230
Alagoas,Roubo seguido de morte (latrocínio),2017,agosto,8
Alagoas,Tentativa de homicídio,2017,agosto,54
Alagoas,Estupro,2017,setembro,60
Alagoas,Furto de veículo,2017,setembro,103
Alagoas,Homicídio doloso,2017,setembro,132
Alagoas,Lesão corporal seguida de morte,2017,setembro,2
Alagoas,Roubo a instituição financeira,2017,setembro,1
Alagoas,Roubo de carga,2017,setembro,8
Alagoas,Roubo de veículo,2017,setembro,251
Alagoas,Roubo seguido de morte (latrocínio),2017,setembro,6
Alagoas,Tentativa de homicídio,2017,setembro,57
Alagoas,Estupro,2017,outubro,45
Alagoas,Furto de veículo,2017,outubro,134
Alagoas,Homicídio doloso,2017,outubro,143
Alagoas,Lesão corporal seguida de morte,2017,outubro,0
Alagoas,Roubo a instituição financeira,2017,outubro,3
Alagoas,Roubo de carga,2017,outubro,3
Alagoas,Roubo de veículo,2017,outubro,285
Alagoas,Roubo seguido de morte (latrocínio),2017,outubro,3
Alagoas,Tentativa de homicídio,2017,outubro,57
Alagoas,Estupro,2017,novembro,61
Alagoas,Furto de veículo,2017,novembro,115
Alagoas,Homicídio doloso,2017,novembro,127
Alagoas,Lesão corporal seguida de morte,2017,novembro,2
Alagoas,Roubo a instituição financeira,2017,novembro,1
Alagoas,Roubo de carga,2017,novembro,13
Alagoas,Roubo de veículo,2017,novembro,274
Alagoas,Roubo seguido de morte (latrocínio),2017,novembro,6
Alagoas,Tentativa de homicídio,2017,novembro,35
Alagoas,Estupro,2017,dezembro,68
Alagoas,Furto de veículo,2017,dezembro,139
Alagoas,Homicídio doloso,2017,dezembro,145
Alagoas,Lesão corporal seguida de morte,2017,dezembro,1
Alagoas,Roubo a instituição financeira,2017,dezembro,2
Alagoas,Roubo de carga,2017,dezembro,10
Alagoas,Roubo de veículo,2017,dezembro,286
Alagoas,Roubo seguido de morte (latrocínio),2017,dezembro,4
Alagoas,Tentativa de homicídio,2017,dezembro,41
Alagoas,Estupro,2018,janeiro,58
Alagoas,Furto de veículo,2018,janeiro,132
Alagoas,Homicídio doloso,2018,janeiro,148
Alagoas,Lesão corporal seguida de morte,2018,janeiro,0
Alagoas,Roubo a instituição financeira,2018,janeiro,4
Alagoas,Roubo de carga,2018,janeiro,12
Alagoas,Roubo de veículo,2018,janeiro,290
Alagoas,Roubo seguido de morte (latrocínio),2018,janeiro,5
Alagoas,Tentativa de homicídio,2018,janeiro,47
Alagoas,Estupro,2018,fevereiro,44
Alagoas,Furto de veículo,2018,fevereiro,106
Alagoas,Homicídio doloso,2018,fevereiro,106
Alagoas,Lesão corporal seguida de morte,2018,fevereiro,0
Alagoas,Roubo a instituição financeira,2018,fevereiro,2
Alagoas,Roubo de carga,2018,fevereiro,9
Alagoas,Roubo de veículo,2018,fevereiro,277
Alagoas,Roubo seguido de morte (latrocínio),2018,fevereiro,3
Alagoas,Tentativa de homicídio,2018,fevereiro,43
Alagoas,Estupro,2018,março,60
